Route (r),Time Block (t),Route type,"Old ridership (x_old,r,t)",Trip length km (L_r),"Average length hr (T_r,t)","Old frequency of buses (f_old,r,t)","Old number of buses (n_old,r,t)","Time block hr (H_block,t)",Driver horuly wage rate $/hr (W_driver),Price of fuel $/litre (P_fuel),Fuel consumption (FC),Maintenace cost $/km (P_maintenance),Passenger hourly wage rate $/hr (W_passenger),VTTS fraction of passenger wage F_wage,"Emission intensity of a car kgCO2eq/KPT (I_GHG,car)",Average Length of passenger trip (L_avg_trip),Social cost of carbon $/tonne CO2eq (SCC)
5,AM Peak,Frequent,292,9.7,1.05,7.5,8,2.5,34.04,1.3,0.242,0.4,35.06,1,0.33,1.94,275
5,Early AM,Frequent,23,9.7,0.92,2,2,3.5,34.04,1.3,0.198,0.4,35.06,0.7,0.295,1.94,275
5,Evening,Frequent,162,9.7,0.98,3,3,4.5,34.04,1.3,0.22,0.4,35.06,0.7,0.3,1.94,275
5,Midday,Frequent,566,9.7,0.98,5,5,6,34.04,1.3,0.22,0.4,35.06,0.7,0.3,1.94,275
5,Night,Frequent,73,9.7,0.86,2,2,4,34.04,1.3,0.198,0.4,35.06,0.7,0.295,1.94,275
5,PM Peak,Frequent,303,9.7,1.05,7.5,8,3.5,34.04,1.3,0.242,0.4,35.06,1,0.33,1.94,275
6,AM Peak,Frequent,1724,17.1,1.72,7.5,13,2.5,34.04,1.3,0.242,0.4,35.06,1,0.33,3.42,275
6,Early AM,Frequent,177,17.1,1.49,2,3,3.5,34.04,1.3,0.198,0.4,35.06,0.7,0.295,3.42,275
6,Evening,Frequent,1064,17.1,1.59,3,5,4.5,34.04,1.3,0.22,0.4,35.06,0.7,0.3,3.42,275
6,Midday,Frequent,3513,17.1,1.59,5,8,6,34.04,1.3,0.22,0.4,35.06,0.7,0.3,3.42,275
6,Night,Frequent,448,17.1,1.39,2,3,4,34.04,1.3,0.198,0.4,35.06,0.7,0.295,3.42,275
6,PM Peak,Frequent,2781,17.1,1.72,7.5,13,3.5,34.04,1.3,0.242,0.4,35.06,1,0.33,3.42,275
7,AM Peak,Frequent,1649,17.5,1.76,7.5,14,2.5,34.04,1.3,0.242,0.4,35.06,1,0.33,3.5,275
7,Early AM,Frequent,110,17.5,1.52,2,4,3.5,34.04,1.3,0.198,0.4,35.06,0.7,0.295,3.5,275
7,Evening,Frequent,1075,17.5,1.63,3,5,4.5,34.04,1.3,0.22,0.4,35.06,0.7,0.3,3.5,275
7,Midday,Frequent,3533,17.5,1.63,5,9,6,34.04,1.3,0.22,0.4,35.06,0.7,0.3,3.5,275
7,Night,Frequent,550,17.5,1.42,2,3,4,34.04,1.3,0.198,0.4,35.06,0.7,0.295,3.5,275
7,PM Peak,Frequent,2555,17.5,1.76,7.5,14,3.5,34.04,1.3,0.242,0.4,35.06,1,0.33,3.5,275
9,AM Peak,Local,383,9.1,1,3,3,2.5,34.04,1.3,0.242,0.4,35.06,1,0.33,1.82,275
9,Early AM,Local,44,9.1,0.87,1,1,3.5,34.04,1.3,0.198,0.4,35.06,0.7,0.295,1.82,275
9,Evening,Local,105,9.1,0.93,1.5,2,4.5,34.04,1.3,0.22,0.4,35.06,0.7,0.3,1.82,275
9,Midday,Local,368,9.1,0.93,2,2,6,34.04,1.3,0.22,0.4,35.06,0.7,0.3,1.82,275
9,Night,Local,58,9.1,0.82,1,1,4,34.04,1.3,0.198,0.4,35.06,0.7,0.295,1.82,275
9,PM Peak,Local,328,9.1,1,3,3,3.5,34.04,1.3,0.242,0.4,35.06,1,0.33,1.82,275
